case,file,pages,seconds,ocr_lines,tsr_calls,cell_calls,warnings
tsr-only-ocr-on-c2,2403.01632v4.pdf,47,25.53470516,417,7,7,"{""ContentLayoutOverlap"": 9, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 3}"
tsr-only-ocr-on-c2,2303.18223v16.pdf,144,44.175830324,717,30,24,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 13}"
tsr-only-ocr-on-c2,2410.05779v3.pdf,16,21.303635404,291,6,6,"{""OcrPartialOverlap"": 28}"
tsr-only-ocr-on-c2,2412.05210v1.pdf,12,19.404681634,439,8,4,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 2, ""OcrPartialOverlap"": 29}"
tsr-only-ocr-on-c2,2603.01919v2.pdf,23,23.04724183,1101,20,18,"{""OcrPartialOverlap"": 2, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
tsr-only-ocr-on-c2,2604.18583v1.pdf,15,12.647416682,100,2,2,"{""ContentLayoutOverlap"": 2, ""EmptyModelRegion"": 1}"
tsr-only-ocr-on-c2,2604.21959v1.pdf,3,5.214658513,87,0,0,{}
tsr-only-ocr-on-c2,2604.18584v1.pdf,32,36.783922872,882,18,18,"{""ContentLayoutOverlap"": 5, ""EmptyModelRegion"": 1, ""OcrPartialOverlap"": 5, ""TableStructureUnavailable"": 1, ""TableTextAssignmentFailed"": 1}"
tsr-only-ocr-on-c2,2606.17056v1.pdf,25,28.297535231,831,4,4,"{""OcrPartialOverlap"": 4}"
tsr-only-ocr-on-c2,2609.04180v1.pdf,23,15.424047867,755,12,12,"{""ContentLayoutOverlap"": 3, ""OcrPartialOverlap"": 79}"
tsr-only-ocr-on-c2,2609.04184v1.pdf,8,12.794353012,239,7,7,"{""ContentLayoutOverlap"": 1, ""OcrPartialOverlap"": 1}"
tsr-only-ocr-on-c2,2609.04203v1.pdf,20,6.54129245,287,19,19,"{""ContentLayoutOverlap"": 5, ""OcrPartialOverlap"": 19}"
